crop_type,region,fertilizer_used,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,disease_label,KMeans_Zone,DBSCAN_Zone
Rice,Terai,No,5.93,96.0,31.0,32,35.0,80.8,230.9,Healthy,0,0
Millet,Mountain,No,5.78,61.0,38.0,36,34.1,50.0,90.2,Healthy,2,1
Rice,Terai,No,5.87,94.0,43.0,51,26.7,76.8,177.9,Sheath Rot,0,0
Tomato,Hilly,No,6.6,87.0,76.0,58,24.2,78.3,108.0,Leaf Curl,1,-1
Cotton,Terai,Yes,6.11,89.0,55.0,30,27.4,45.5,68.8,Leaf Spot,2,2
Potato,Hilly,Yes,4.99,140.0,84.125,97,21.9,67.7,143.5,Early Blight,1,4
Mustard,Terai,No,7.26,80.0,55.0,20,12.8,70.4,60.2,Downy Mildew,2,3
Maize,Hilly,Yes,6.7,115.0,61.0,66,24.7,55.8,99.9,Stalk Rot,1,2
Maize,Hilly,Yes,6.01,114.0,47.0,55,19.1,79.2,118.0,Stalk Rot,1,2
Wheat,Hilly,Yes,6.76,121.0,44.0,62,22.2,72.7,133.9,Rust,1,4
Millet,Mountain,No,6.47,94.0,25.0,28,22.7,66.25,41.1,Rust,2,-1
Millet,Hilly,No,5.53,36.0,49.0,25,34.3,42.9,116.7,Healthy,2,-1
Maize,Hilly,No,5.9,94.0,57.0,66,23.0,66.25,198.7,Blight,1,9
Cotton,Terai,Yes,7.03,84.0,35.0,33,30.4,68.1,80.9,Leaf Spot,2,2
Wheat,Terai,Yes,7.29,95.0,49.0,59,15.3,54.7,105.5,Powdery Mildew,1,5
Tomato,Terai,Yes,6.15,93.0,43.0,60,27.6,76.5,74.3,Wilt,0,5
Millet,Mountain,Yes,6.57,67.0,32.0,40,30.7,46.7,78.8,Blast,2,2
Cotton,Terai,Yes,6.82,94.0,34.0,33,30.9,45.8,134.2,Wilt,2,2
Maize,Hilly,Yes,7.14,73.0,48.0,38,23.4,77.9,168.5,Blight,2,-1
Wheat,Hilly,Yes,6.61,84.0,61.0,74,11.0,71.3,88.7,Healthy,1,4
Maize,Terai,No,6.2,109.0,68.0,56,20.9,61.7,138.0,Healthy,2,-1
Cotton,Terai,No,7.82,91.0,58.0,56,30.9,60.6,95.5,Healthy,2,6
Rice,Terai,Yes,5.91,119.0,42.0,56,28.6,79.9,232.8,Blast,0,5
Cotton,Terai,Yes,7.67,62.0,55.0,48,36.5,52.7,147.1,Wilt,2,2
Rice,Terai,Yes,6.62,72.0,36.0,35,24.3,77.5,203.8,Healthy,0,5
Wheat,Terai,Yes,6.92,97.0,63.0,46,17.6,52.9,74.2,Powdery Mildew,1,5
Wheat,Terai,Yes,7.02,82.0,62.0,55,21.4,56.9,99.8,Smut,1,5
Mustard,Terai,Yes,6.97,75.0,52.0,40,11.0,73.2,34.1,Downy Mildew,2,2
Cotton,Terai,Yes,6.23,93.0,42.0,54,32.2,53.8,91.1,Wilt,2,2
Maize,Hilly,Yes,6.94,89.0,69.0,59,21.3,78.2,140.4,Mosaic,1,-1
Wheat,Terai,Yes,7.5,139.0,69.0,69,22.7,68.2,97.2,Rust,1,5
Tomato,Hilly,No,6.02,117.0,50.0,65,22.9,71.8,62.6,Wilt,1,-1
Mustard,Hilly,Yes,6.38,63.0,38.0,43,15.9,53.9,99.4,Healthy,2,2
Tomato,Terai,Yes,6.11,94.0,76.0,69,26.9,75.0,59.5,Leaf Curl,1,5
Mustard,Hilly,No,6.64,98.0,51.0,32,11.5,60.0,70.1,White Rust,2,11
Millet,Mountain,Yes,6.72,67.0,25.0,42,22.2,44.3,84.1,Downy Mildew,2,2
Millet,Mountain,Yes,6.2,66.0,37.0,42,34.4,54.7,75.6,Downy Mildew,2,2
Wheat,Terai,Yes,6.01,82.0,63.0,55,24.7,71.3,109.5,Powdery Mildew,1,5
Tomato,Hilly,Yes,6.47,80.0,61.0,78,25.9,61.4,45.6,Mosaic,1,4
Wheat,Hilly,No,7.36,109.0,53.0,44,16.3,71.9,87.7,Rust,1,-1
Rice,Terai,No,6.94,95.0,44.0,47,24.1,85.1,217.5,Blast,0,0
Rice,Terai,No,6.27,95.0,35.0,52,33.0,87.6,188.4,Blight,0,0
Millet,Mountain,Yes,6.59,33.0,32.0,45,31.3,66.25,50.6,Blast,2,2
Tomato,Terai,Yes,6.22,89.0,78.0,60,21.2,74.8,72.1,Wilt,1,5
Tomato,Terai,Yes,6.59,115.0,42.0,61,20.8,57.4,99.2,Mosaic,1,5
Wheat,Hilly,Yes,6.18,133.0,60.0,57,19.1,66.2,85.8,Smut,1,4
Rice,Terai,Yes,5.61,67.0,33.0,34,27.6,76.0,232.3,Blight,0,5
Wheat,Hilly,No,7.3,117.0,58.0,66,14.2,71.9,73.8,Smut,1,-1
Potato,Hilly,Yes,5.37,126.0,84.125,104,14.7,82.3,139.9,Scab,1,4
Mustard,Terai,No,7.3,77.0,54.0,27,22.7,66.25,59.0,Blight,2,3
Rice,Terai,Yes,6.69,102.0,31.0,32,27.3,82.5,160.0,Healthy,0,5
Mustard,Terai,No,7.12,98.0,43.0,27,23.1,60.4,84.0,White Rust,2,3
Maize,Hilly,Yes,6.27,109.0,67.0,43,20.6,65.8,92.3,Stalk Rot,1,2
Cotton,Terai,Yes,6.21,100.0,49.0,45,33.7,52.2,63.5,Wilt,2,2
Mustard,Terai,No,6.83,78.0,59.0,36,11.8,74.3,42.6,Healthy,2,3
Tomato,Terai,Yes,6.21,94.0,65.0,65,28.2,73.4,41.5,Mosaic,1,5
Wheat,Hilly,Yes,7.41,104.0,63.0,76,14.1,51.9,63.3,Powdery Mildew,1,4
Mustard,Terai,Yes,6.96,72.0,55.0,48,11.2,65.6,75.3,White Rust,2,2
Wheat,Terai,Yes,7.12,128.0,68.0,78,16.5,52.4,116.7,Powdery Mildew,1,5
Tomato,Hilly,No,6.52,123.0,41.0,63,28.3,70.2,85.7,Leaf Curl,1,-1
Maize,Terai,No,6.12,122.0,63.0,58,31.5,78.8,165.7,Mosaic,0,-1
Rice,Terai,Yes,6.66,109.0,35.0,56,31.5,84.8,158.7,Healthy,0,5
Millet,Mountain,Yes,6.84,64.0,26.0,34,26.5,59.4,68.0,Downy Mildew,2,2
Rice,Terai,Yes,6.98,109.0,38.0,32,30.9,74.2,204.1,Blight,0,5
Wheat,Terai,Yes,6.21,110.0,66.0,71,14.0,60.3,78.1,Rust,1,5
Maize,Hilly,Yes,6.17,89.0,54.0,59,30.1,62.3,117.1,Healthy,2,2
Cotton,Terai,Yes,7.8,73.0,54.0,59,37.4,68.9,83.0,Leaf Spot,2,2
Mustard,Hilly,No,6.68,79.0,31.0,25,15.8,53.7,88.5,Healthy,2,11
Mustard,Terai,Yes,6.61,87.0,42.0,48,12.1,62.4,60.8,Healthy,2,2
Potato,Hilly,No,6.14,124.0,72.0,103,21.3,64.0,99.9,Scab,1,7
Maize,Hilly,No,7.04,111.0,46.0,50,24.0,74.1,126.4,Healthy,2,8
Tomato,Hilly,Yes,6.08,101.0,51.0,77,25.3,71.0,42.8,Leaf Curl,1,4
Wheat,Terai,Yes,6.99,129.0,69.0,67,15.1,74.5,141.4,Smut,1,5
Potato,Mountain,No,6.09,126.0,63.0,91,14.8,81.2,101.3,Scab,1,7
Rice,Terai,Yes,6.62,84.0,49.0,49,33.9,78.0,202.6,Sheath Rot,0,5
Mustard,Hilly,Yes,7.39,72.0,55.0,43,16.9,66.25,99.9,White Rust,2,2
Mustard,Hilly,Yes,6.8,65.0,47.0,29,20.5,64.1,48.0,Blight,2,2
Rice,Terai,Yes,6.84,98.0,38.0,38,29.1,78.0,214.9,Sheath Rot,0,5
Mustard,Hilly,No,6.38,99.0,55.0,44,21.4,56.9,71.8,Healthy,2,8
Tomato,Terai,Yes,6.11,83.0,69.0,74,26.0,74.3,66.7,Leaf Curl,1,5
Potato,Mountain,Yes,4.98,139.0,67.0,84,15.9,77.2,99.9,Scab,1,4
Wheat,Hilly,No,6.19,136.0,74.0,49,19.8,50.0,78.3,Rust,1,-1
Tomato,Hilly,No,6.84,104.0,71.0,83,20.3,75.2,89.8,Wilt,1,-1
Tomato,Hilly,Yes,6.15,92.0,46.0,59,26.1,57.5,59.0,Healthy,1,4
Cotton,Terai,No,6.18,101.0,40.0,48,35.6,65.7,58.0,Wilt,2,-1
Rice,Terai,Yes,6.31,105.0,55.0,43,30.0,83.8,99.9,Sheath Rot,0,5
Tomato,Hilly,No,6.9,96.0,51.0,93,27.8,66.8,94.3,Mosaic,1,-1
Potato,Mountain,Yes,6.26,107.0,84.125,93,17.8,71.7,90.5,Healthy,1,4
Cotton,Terai,Yes,7.14,72.0,49.0,54,37.1,49.9,84.8,Boll Rot,2,2
Tomato,Hilly,No,6.82,80.0,66.0,68,21.8,55.5,100.7,Leaf Curl,1,-1
Maize,Terai,Yes,6.85,70.0,57.0,41,21.7,57.3,131.9,Mosaic,2,2
Wheat,Hilly,No,6.03,96.0,72.0,64,23.7,60.3,85.2,Healthy,1,-1
Mustard,Terai,Yes,6.35,65.0,56.0,48,14.5,69.3,88.8,Healthy,2,2
Tomato,Hilly,Yes,6.18,113.0,66.0,62,28.3,78.6,64.8,Healthy,1,4
Rice,Terai,Yes,6.49,99.0,55.0,52,26.0,73.6,165.6,Sheath Rot,0,5
Potato,Hilly,Yes,5.46,118.0,55.0,84,18.0,65.6,149.0,Late Blight,1,4
Cotton,Terai,Yes,7.47,97.0,37.0,42,29.2,68.8,99.9,Healthy,2,2
Rice,Terai,Yes,6.11,70.0,30.0,34,31.8,79.7,155.2,Blast,0,5
Potato,Hilly,No,5.94,134.0,84.125,104,10.3,66.3,116.3,Healthy,1,7
Potato,Mountain,No,5.12,119.0,81.0,104,14.3,65.1,77.4,Late Blight,1,-1
Potato,Mountain,Yes,5.17,132.0,82.0,100,16.4,79.5,132.8,Scab,1,4
Maize,Terai,Yes,7.16,128.0,57.0,65,19.0,60.4,99.9,Mosaic,1,2
Mustard,Hilly,Yes,6.13,75.0,57.0,44,20.4,61.2,67.3,Blight,2,2
Millet,Mountain,No,7.0,54.0,38.0,21,27.8,57.7,81.8,Blast,2,10
Cotton,Terai,Yes,6.08,79.0,54.0,40,28.0,45.7,99.9,Wilt,2,2
Mustard,Terai,Yes,7.41,99.0,33.0,38,21.3,70.9,33.6,White Rust,2,2
Rice,Terai,Yes,6.47,70.0,54.0,53,26.9,91.6,232.8,Healthy,0,5
Millet,Mountain,No,5.5,59.0,39.0,41,21.0,68.2,91.2,Downy Mildew,2,-1
