crop_type,region,disease_label,disease_severity,fertilizer_used,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall
Rice,Terai,Healthy,None,No,5.93,96,31,32,35,80.8,230.9
Millet,Mountain,Healthy,None,No,5.78,61,38,36,34.1,50,90.2
Rice,Terai,Sheath Rot,Medium,No,5.87,,43,51,26.7,76.8,177.9
Tomato,Hilly,Leaf Curl,Medium,No,6.6,87,76,58,24.2,78.3,108
Cotton,Terai,Leaf Spot,Low,Yes,6.11,89,55,30,27.4,45.5,68.8
Potato,Hilly,Early Blight,Medium,Yes,4.99,140,89,97,21.9,67.7,143.5
Mustard,Terai,Downy Mildew,Medium,No,7.26,80,55,20,12.8,70.4,60.2
Maize,Hilly,Stalk Rot,High,Yes,6.7,115,61,66,24.7,55.8,
Maize,Hilly,Stalk Rot,,Yes,6.01,114,47,55,19.1,79.2,118
Wheat,Hilly,Rust,Medium,Yes,6.76,121,44,62,22.2,72.7,133.9
Millet,Mountain,Rust,Medium,No,,,25,28,22.7,,41.1
Millet,Hilly,Healthy,None,No,5.53,36,49,25,34.3,42.9,116.7
Maize,Hilly,Blight,High,No,5.9,,57,66,23,,198.7
Cotton,Terai,Leaf Spot,Low,Yes,7.03,84,35,33,30.4,68.1,80.9
Wheat,Terai,Powdery Mildew,Low,Yes,7.29,95,49,59,15.3,54.7,105.5
Tomato,Terai,Wilt,High,Yes,6.15,93,43,60,27.6,76.5,74.3
Millet,Mountain,Blast,High,Yes,6.57,67,32,40,30.7,46.7,78.8
Cotton,Terai,Wilt,High,Yes,6.82,94,34,33,30.9,45.8,134.2
Maize,Hilly,Blight,High,Yes,7.14,73,48,38,23.4,77.9,168.5
Wheat,Hilly,Healthy,None,Yes,6.61,84,61,74,11,71.3,88.7
Maize,Terai,Healthy,None,No,6.2,109,68,56,20.9,61.7,138
Cotton,Terai,Healthy,None,No,7.82,91,58,56,30.9,60.6,95.5
Rice,Terai,Blast,High,Yes,5.91,119,42,56,28.6,79.9,233
Cotton,Terai,Wilt,High,Yes,7.67,62,55,48,36.5,52.7,147.1
Rice,Terai,Healthy,None,Yes,6.62,72,36,35,24.3,77.5,203.8
Wheat,Terai,Powdery Mildew,Low,Yes,6.92,97,63,46,17.6,52.9,74.2
Wheat,Terai,Smut,High,Yes,7.02,82,62,55,21.4,56.9,99.8
Mustard,Terai,Downy Mildew,Medium,Yes,6.97,75,52,40,11,73.2,34.1
